Time,Date,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
21:26:40,13/04/2021,1,Marina,Suntec City,1.29375 103.85718,2472,C,LTA
21:26:40,13/04/2021,2,Marina,Marina Square,1.29115 103.85728,1658,C,LTA
21:26:40,13/04/2021,3,Marina,Raffles City,1.29382 103.85319,338,C,LTA
21:26:40,13/04/2021,4,Marina,The Esplanade,1.29011 103.85561,658,C,LTA
21:26:40,13/04/2021,5,Marina,Millenia Singapore,1.29251 103.86009,1147,C,LTA
21:26:40,13/04/2021,6,Marina,Singapore Flyer,1.28944 103.86311,136,C,LTA
21:26:40,13/04/2021,16,Harbfront,VivoCity P3,1.26421 103.82263,964,C,LTA
21:26:40,13/04/2021,17,Harbfront,Sentosa,1.25017 103.83126,1491,C,LTA
21:26:40,13/04/2021,19,Harbfront,Harbourfront Centre,1.26426 103.82011,919,C,LTA
21:26:40,13/04/2021,50,Harbfront,VivoCity P2,1.26426 103.82164,769,C,LTA
21:26:40,13/04/2021,20,Orchard,Far East Plaza,1.3071 103.83359,424,C,LTA
21:26:40,13/04/2021,18,Orchard,Tang Plaza,1.30491 103.83312,343,C,LTA
21:26:40,13/04/2021,15,Orchard,Wheelock Place,1.3048 103.83063,232,C,LTA
21:26:40,13/04/2021,13,Orchard,Ngee Ann City,1.30236 103.8349,1012,C,LTA
21:26:40,13/04/2021,12,Orchard,Mandarin Hotel,1.30216 103.83601,103,C,LTA
21:26:40,13/04/2021,11,Orchard,Cineleisure,1.30151 103.83641,257,C,LTA
21:26:40,13/04/2021,21,Orchard,Centrepoint,1.302 103.83975,207,C,LTA
21:26:40,13/04/2021,24,Orchard,313@Somerset,1.30084 103.83872,166,C,LTA
21:26:40,13/04/2021,7,Orchard,Orchard Point,1.30135 103.84061,190,C,LTA
21:26:40,13/04/2021,22,Orchard,Concorde Hotel,1.3006 103.84191,251,C,LTA
21:26:40,13/04/2021,9,Orchard,Plaza Singapura,1.30103 103.84503,512,C,LTA
21:26:40,13/04/2021,10,Orchard,The Cathay,1.2995 103.84762,122,C,LTA
21:26:40,13/04/2021,23,Orchard,ION Orchard,1.30403 103.83206,306,C,LTA
21:26:40,13/04/2021,14,Orchard,Wisma Atria,1.30366 103.83327,265,C,LTA
21:26:40,13/04/2021,8,Orchard,The Heeren,1.30255 103.83739,150,C,LTA
21:26:40,13/04/2021,26,Harbfront,Resorts World Sentosa,1.25667 103.82012,2508,C,LTA
21:26:40,13/04/2021,27,Orchard,Orchard Central,1.30072 103.83979,230,C,LTA
21:26:40,13/04/2021,29,Marina,Marina Bay Sands,1.28225028515239 103.858300275795,653,C,LTA
