weekdayRate,ppCode,ppName,sunPHRate
$0.60,R0002,RACE COURSE ROAD ,$0.60
$0.60,R0003,RANGOON ROAD ,$0.60
$0.60,R0010,RIVER VALLEY ROAD(BET TANK RD/ZION RD),$0.60
$0.60,R0011,ROBERTS LANE ,$0.60
$0.60,R0036,RACE COURSE ROAD (BET BT TIMAH / RANGOON RD),$0.60
$0.60,R0037,RANGOON LANE OFF STREET,$0.60
$0.60,R0038,RACE COURSE ROAD / NORTHUMBERLAND ROAD,$0.60
$0.60,R0038,RACE COURSE ROAD / NORTHUMBERLAND ROAD,$0.60
$0.60,R0039,RANGOON LANE ,$0.60
$1.20,S0002,SEAH STREET ,$0.60
$0.60,S0002,SEAH STREET ,$0.60
$0.60,S0005,SERANGOON RD(KITCHENER RD/LAVENDER ST),$0.60
$0.60,S0007,STARLIGHT ROAD / TERRACE,$0.60
$1.20,S0009,SHORT STREET ,$0.60
$0.60,S0009,SHORT STREET ,$0.60
$1.20,S0011,SOPHIA ROAD ,$0.60
$0.60,S0011,SOPHIA ROAD ,$0.60
$1.20,S0015,STANLEY STREET ,$0.60
$0.60,S0015,STANLEY STREET ,$0.60
$0.60,S0018,SULTAN GATE ,$0.60
$0.60,S0019,SUNGEI ROAD(WELD ROAD/ KELANTAN ROAD),$0.60
$0.60,S0020,SEMBAWANG HILLS FOOD CENTRE OFF STREET,$0.60
$0.60,S0020,SEMBAWANG HILLS FOOD CENTRE OFF STREET,$0.60
$0.60,S0022,SYED ALWI ROAD(JALAN BESAR/ROCHOR CANAL RD),$0.60
$0.60,S0023,STURDEE ROAD ,$0.60
$0.60,S0026,SERVICE ROAD OFF BUKIT  TIMAH ROAD/SIXTH AVE,$0.60
$1.20,S0032,SAUNDERS ROAD ,$0.60
$0.60,S0032,SAUNDERS ROAD ,$0.60
$0.60,S0032,SAUNDERS ROAD ,$0.60
$0.60,S0033,SERVICE ROAD OFF CHOA CHU KANG AVE 1,$0.60
$0.60,S0033,SERVICE ROAD OFF CHOA CHU KANG AVE 1,$0.60
$1.20,S0035,SERVICE ROAD OFF QUEEN ST(QUEEN/WATERLOO ST),$0.60
$0.60,S0035,SERVICE ROAD OFF QUEEN ST(QUEEN/WATERLOO ST),$0.60
$0.60,S0045,SING AVENUE ,$0.60
$0.60,S0046,SING JOO WALK ,$0.60
$0.60,S0047,SHAN ROAD ,$0.60
$0.60,S0049,Serangoon Rd/Lavender  St Off Street,$0.60
$0.60,S0049,Serangoon Rd/Lavender  St Off Street,$0.60
$0.75,S0055,SERANGOON GARDEN MARKET OFF STREET,$0.75
$0.60,S0055,SERANGOON GARDEN MARKET OFF STREET,$0.60
$0.60,S0055,SERANGOON GARDEN MARKET OFF STREET,$0.60
$0.60,S0061,SEMBONG ROAD ,$0.60
$0.60,S0066,SOMME ROAD ,$0.60
$0.60,S0070,SIMON ROAD SERVICE ROAD,$0.60
$0.60,S0075,SCIENCE CENTRE ROAD ,$0.60
$0.60,S0079,SERVICE ROAD OFF KING GEORGE'S AVENUE,$0.60
$0.60,S0091,SENOKO ROAD ,$0.60
$0.60,S0094,SENOKO WAY ,$0.60
$0.60,S0096,SENOKO DRIVE ,$0.60
$0.60,S0097,SENOKO AVENUE ,$0.60
$1.20,S0102,SPOTTISWOODE PARK ROAD ,$0.60
$0.60,S0102,SPOTTISWOODE PARK ROAD ,$0.60
$0.60,S0102,SPOTTISWOODE PARK ROAD ,$0.60
$0.60,S0106,SIN MING DRIVE OFF STREET,$0.60
$0.60,S0106,SIN MING DRIVE OFF STREET,$0.60
$0.60,S0108,SHREWSBURY ROAD OFF STREET,$0.60
$0.60,S0108,SHREWSBURY ROAD OFF STREET,$0.60
$0.60,S0109,SIN MING ROAD HEAVY VEHICLE PARK,$0.60
$0.60,S0110,SERVICE ROAD OFF ONAN ROAD,$0.60
$0.60,S0112,SEAH IM ROAD OFF STREET,$0.60
$0.60,S0112,SEAH IM ROAD OFF STREET,$0.60
$0.60,S0115,SERVICE ROAD BET HAMILTON RD/CAVAN RD,$0.60
$0.60,S0118,SERVICE ROAD OFF PENHAS ROAD,$0.60
$0.60,S0120,SERVICE ROAD BETWEEN PETAIN RD/ALLENBY RD,$0.60
$0.60,S0127,SERVICE ROAD OFF JOO CHIAT ROAD,$0.60
$0.60,S0132,SERVICE ROAD OFF ALIWAL STREET,$0.60
$0.60,S0136,SERVICE ROAD OFF ZION ROAD,$0.60
$0.60,S0139,SERVICE ROAD OFF UPPER BUKIT TIMAH ROAD,$0.60
$0.60,S0141,SERVICE ROAD OFF UPPER EAST COAST ROAD,$0.60
$0.60,S0150,SULTAN GATE / ALIWAL STREET OFF STREET,$0.60
$0.60,S0150,SULTAN GATE / ALIWAL STREET OFF STREET,$0.60
$0.60,S0156,SIMS PLACE ,$0.60
$0.60,S0156,SIMS PLACE ,$0.60
$0.60,S0159,SERVICE ROAD OFF BALESTIER ROAD,$0.60
$0.60,S0160,SIN MING WALK ,$0.60
$0.60,S0160,SIN MING WALK ,$0.60
$0.60,S0161,SEMBAWANG ROAD OFF STREET,$0.60
$0.60,S0162,SERVICE ROAD OFF TEBING LANE,$0.60
$0.60,S0164,SELETAR AEROSPACE VIEW ,$0.60
$0.60,S0166,SEMBAWANG RD/ADMIRALTY  RD EAST OFF STREET,$0.60
$0.60,S0166,SEMBAWANG RD/ADMIRALTY  RD EAST OFF STREET,$0.60
$0.60,S0167,SERVICE ROAD OFF JALAN SELASEH,$0.60
$0.60,S0168,SERVICE ROAD OFF JALAN KELULUT,$0.60
$0.60,S0170,SERVICE ROAD OFF SEMBAWANG ROAD,$0.60
$0.60,S0171,SPOONER ROAD OFF STREET,$0.60
$0.60,S0171,SPOONER ROAD OFF STREET,$0.60
$0.60,S0172,SPRINGLEAF ROAD  ,$0.60
$1.20,T0002,TANJONG PAGAR ROAD ,$0.60
$0.60,T0002,TANJONG PAGAR ROAD ,$0.60
$0.60,T0003,TANK ROAD ,$0.60
$1.20,T0005,TAN QUEE LAN STREET ,$0.60
$0.60,T0005,TAN QUEE LAN STREET ,$0.60
$1.20,T0006,TECK LIM ROAD ,$0.60
$0.60,T0006,TECK LIM ROAD ,$0.60
$1.20,T0008,TELOK AYER STREET ,$0.60
$0.60,T0008,TELOK AYER STREET ,$0.60
$1.20,T0009,TEMPLE STREET ,$0.60
$0.60,T0009,TEMPLE STREET ,$0.60
$1.20,T0010,TEO HONG ROAD ,$0.60
$0.60,T0010,TEO HONG ROAD ,$0.60
$1.20,T0014,TRAS STREET ,$0.60
$0.60,T0014,TRAS STREET ,$0.60
$0.60,T0017,TIONG BAHRU PARK OFF STREET,$0.60
$0.60,T0017,TIONG BAHRU PARK OFF STREET,$0.60
$0.60,T0021,TYRWHITT ROAD ,$0.60
$0.60,T0022,TOWNSHEND ROAD ,$0.60
$0.60,T0033,TECK CHYE TERRACE ,$0.60
$0.60,T0036,TAMPINES PLACE  ,$0.60
$0.60,T0043,TAMAN MAS MERAH ,$0.60
$0.60,T0043,TAMAN MAS MERAH ,$0.60
$0.60,T0057,TESSENSOHN ROAD ,$0.60
$0.60,T0060,TOH GUAN ROAD ,$0.60
$0.60,T0060,TOH GUAN ROAD ,$0.60
$0.60,T0062,TAI SENG DRIVE ,$0.60
$0.60,T0062,TAI SENG DRIVE ,$0.60
$0.60,T0065,TAGORE ROAD ,$0.60
$0.60,T0066,TAGORE INDUSTRIAL AVENUE,$0.60
$0.60,T0067,TAGORE LANE ,$0.60
$0.60,T0068,TAGORE DRIVE  ,$0.60
$0.60,T0070,TANGLIN HALT CLOSE ,$0.60
$0.60,T0070,TANGLIN HALT CLOSE ,$0.60
$0.60,T0074,TAMPINES INDUSTRIAL AVENUE 3,$0.60
$0.60,T0074,TAMPINES INDUSTRIAL AVENUE 3,$0.60
$0.60,T0103,TEMBELING ROAD OFF STREET,$0.60
$0.60,T0103,TEMBELING ROAD OFF STREET,$0.60
$0.60,T0104,TAI SENG AVENUE ,$0.60
$0.60,T0104,TAI SENG AVENUE ,$0.60
$0.60,T0107,TAMPINES ROAD/HOUGANG AVE 7 HEAVY VEH PARK,$0.60
$0.60,T0107,TAMPINES ROAD/HOUGANG AVE 7 HEAVY VEH PARK,$0.60
$0.60,T0114,TEMBELING ROAD ,$0.60
$0.60,T0115,TELOK KURAU ROAD ,$0.60
$0.60,T0116,TEBAN GARDENS CRESCENT ,$0.60
$0.60,T0129,TANJONG KATONG COMPLEX ,$0.60
$0.60,T0129,TANJONG KATONG COMPLEX ,$0.60
$0.60,T0130,TOA PAYOH WEST ,$0.60
$0.60,T0130,TOA PAYOH WEST ,$0.60
$0.60,T0140,TANJONG KATONG ROAD OFF STREET,$0.60
$0.60,T0140,TANJONG KATONG ROAD OFF STREET,$0.60
$0.60,T0141,TANJONG KATONG RD OFF ST (OPP WILKINSON RD),$0.60
$0.60,T0141,TANJONG KATONG RD OFF ST (OPP WILKINSON RD),$0.60
$1.20,T0144,TEO HONG ROAD / NEW BRIDGE ROAD OFF STREET,$0.60
$0.60,T0144,TEO HONG ROAD / NEW BRIDGE ROAD OFF STREET,$0.60
$0.60,T0145,TEBING LANE ,$0.60
$0.60,T0146,TAI SENG STREET ,$0.60
$0.60,T0146,TAI SENG STREET ,$0.60
$1.20,U0002,UPPER CIRCULAR ROAD ,$0.60
$0.60,U0002,UPPER CIRCULAR ROAD ,$0.60
$0.60,U0003,UBI AVENUE 3 ,$0.60
$0.60,U0003,UBI AVENUE 3 ,$0.60
$0.60,U0012,UPPER PAYA LEBAR ROAD SERVICE ROAD,$0.60
$0.60,U0013,UBI ROAD 1 ,$0.60
$0.60,U0013,UBI ROAD 1 ,$0.60
$0.60,U0014,UBI ROAD 2 ,$0.60
$0.60,U0014,UBI ROAD 2 ,$0.60
$0.60,U0016,UBI ROAD 3 ,$0.60
$0.60,U0016,UBI ROAD 3 ,$0.60
$1.20,U0017,UPPER HOKIEN STREET ,$0.60
$0.60,U0017,UPPER HOKIEN STREET ,$0.60
$0.60,U0021,UBI AVENUE 4 ,$0.60
$0.60,U0021,UBI AVENUE 4 ,$0.60
$0.60,U0023,UNITY STREET ,$0.60
$0.60,U0030,UBI AVENUE 1 ,$0.60
$0.60,U0030,UBI AVENUE 1 ,$0.60
$0.60,U0031,UPPER SERANGOON ROAD ,$0.60
$0.60,U0036,UPPER EAST COAST ROAD OFF STREET,$0.60
$0.60,U0036,UPPER EAST COAST ROAD OFF STREET,$0.60
$0.60,U0037,UBI ROAD 4 ,$0.60
$0.60,U0037,UBI ROAD 4 ,$0.60
$0.60,U0038,UPPER THOMSON ROAD (LAKEVIEW ESTATE),$0.60
$0.60,U0039,UBI CRESCENT ,$0.60
$0.60,U0039,UBI CRESCENT ,$0.60
$0.60,U0042,UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,$0.60
$0.60,U0042,UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,$0.60
$0.60,U0043,UPPER THOMSON ROAD OFF STREET,$0.60
$0.60,U0044,UBI VIEW ,$0.60
$0.60,U0044,UBI VIEW ,$0.60
$0.60,U0045,UBI LINK ,$0.60
$0.60,U0045,UBI LINK ,$0.60
$0.60,V0007,VERDUN ROAD OFF STREET ,$0.60
$0.60,V0007,VERDUN ROAD OFF STREET ,$0.60
$1.20,W0001,WALLICH STREET ,$0.60
$0.60,W0001,WALLICH STREET ,$0.60
$1.20,W0002,WATERLOO STREET ,$0.60
$0.60,W0002,WATERLOO STREET ,$0.60
$1.20,W0004,WILKIE ROAD ,$0.60
$0.60,W0004,WILKIE ROAD ,$0.60
$0.60,W0005,WILKINSON ROAD ,$0.60
$0.60,W0013,WOODLANDS ROAD LORRY PARK,$0.60
$0.60,W0013,WOODLANDS ROAD LORRY PARK,$0.60
$0.60,W0029,WEST COAST PARK 1 OFF STREET,$0.60
$0.60,W0029,WEST COAST PARK 1 OFF STREET,$0.60
$0.60,W0055,WARNA ROAD OFF STREET ,$0.60
$0.75,W0055,WARNA ROAD OFF STREET ,$0.75
$0.60,W0055,WARNA ROAD OFF STREET ,$0.60
$0.60,W0058,WOODLANDS INDUSTRIAL PARK E 5,$0.60
$1.20,Y0002,YAN KIT ROAD ,$0.60
$0.60,Y0002,YAN KIT ROAD ,$0.60
$0.60,Y0013,YISHUN INDUSTRIAL PARK A,$0.60
$1.20,Y0019,YAN KIT ROAD / CANTONMENT ROAD OFF ST,$0.60
$0.60,Y0019,YAN KIT ROAD / CANTONMENT ROAD OFF ST,$0.60
$0.60,Y0019,YAN KIT ROAD / CANTONMENT ROAD OFF ST,$0.60
$0.60,Z0001,ZION ROAD OFF STREET ,$0.60
$0.60,Z0003,ZION ROAD ,$0.60
$0.60,Z0004,ZION CLOSE ,$0.60

