weekdayRate,ppCode,ppName,sunPHRate
$0.60,C0133,CARPENTER STREET OFF STREET,$0.60
$0.60,C0134,CIRCUIT ROAD ,$0.60
$0.60,C0134,CIRCUIT ROAD ,$0.60
$0.60,C0135,CRANE ROAD ,$0.60
$0.60,C0136,CEYLON LANE ,$0.60
$0.60,C0142,CHANG CHARN ROAD ,$0.60
$0.60,C0142,CHANG CHARN ROAD ,$0.60
$0.60,C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),$0.60
$0.60,C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),$0.60
$0.60,C0157,CHANGI NORTH CRESCENT ,$0.60
$0.60,C0158,CHANGI NORTH RISE ,$0.60
$0.60,C0159,CHANGI NORTH STREET 1 ,$0.60
$0.60,C0160,CHANGI NORTH STREET 2 ,$0.60
$0.60,C0161,CHANGI SOUTH LANE ,$0.60
$1.20,C0162,CLEMENCEAU AVENUE OFF STREET,$0.60
$0.60,C0162,CLEMENCEAU AVENUE OFF STREET,$0.60
$0.60,C0162,CLEMENCEAU AVENUE OFF STREET,$0.60
$1.20,D0001,DEVONSHIRE ROAD ,$0.60
$0.60,D0001,DEVONSHIRE ROAD ,$0.60
$1.20,D0002,DUBLIN ROAD ,$0.60
$0.60,D0002,DUBLIN ROAD ,$0.60
$1.20,D0006,DUXTON HILL OFF STREET ,$0.60
$0.60,D0006,DUXTON HILL OFF STREET ,$0.60
$0.60,D0006,DUXTON HILL OFF STREET ,$0.60
$1.20,D0010,DUXTON ROAD ,$0.60
$0.60,D0010,DUXTON ROAD ,$0.60
$0.60,D0017,DUNEARN CLOSE ,$0.60
$0.60,D0026,DICKSON ROAD OFF STREET,$0.60
$0.60,D0026,DICKSON ROAD OFF STREET,$0.60
$0.60,D0027,DUNMAN ROAD FOOD CENTRE OFF STREET,$0.60
$0.60,D0028,DELTA CIRCUS FRINGE CAR PARK,$0.60
$0.60,D0028,DELTA CIRCUS FRINGE CAR PARK,$0.60
$1.20,E0009,EMERALD HILL ROAD ,$0.60
$0.60,E0009,EMERALD HILL ROAD ,$0.60
$0.60,E0009,EMERALD HILL ROAD ,$0.60
$1.20,E0011,EMERALD LINK ,$0.60
$0.60,E0011,EMERALD LINK ,$0.60
$0.60,E0011,EMERALD LINK ,$0.60
$0.60,E0017,EAST COAST ROAD (HAIG ROAD/TELOK KURAU ROAD),$0.60
$1.20,E0022,EVERTON ROAD ,$0.60
$0.60,E0022,EVERTON ROAD ,$0.60
$0.60,E0023,EAST COAST PARK E3 OFF STREET,$0.60
$0.60,E0023,EAST COAST PARK E3 OFF STREET,$0.60
$0.60,E0024,EAST COAST PARK E2 OFF STREET,$0.60
$0.60,E0024,EAST COAST PARK E2 OFF STREET,$0.60
$0.60,E0027,EAST COAST PARK E1 OFF STREET,$0.60
$0.60,E0027,EAST COAST PARK E1 OFF STREET,$0.60
$0.60,E0031,EAN KIAM PLACE ,$0.60
$0.60,E0034,EVERITT ROAD NORTH ,$0.60
$0.60,E0035,EVERITT ROAD ,$0.60
$0.60,E0037,EAST COAST ROAD (BET SIGLAP RD/JALAN JAMAL),$0.60
$0.60,F0002,FOCH ROAD ,$0.60
$0.60,F0006,FLANDERS SQUARE ,$0.60
$0.60,F0029,FORT ROAD/EAST COAST PARK HV PARK,$0.60
$0.60,F0029,FORT ROAD/EAST COAST PARK HV PARK,$0.60
$0.60,G0039,GUILLEMARD ROAD ,$0.60
$1.20,G0040,GEMMILL LANE ,$0.60
$0.60,G0040,GEMMILL LANE ,$0.60
